id,latitude,longitude,max_cars
1,37.50210946855926,-3.5982659189656065,60
2,37.68849280540646,-3.3107235638331396,96
3,37.50162158770853,-3.646206765079377,82
4,37.93107784780313,-3.07246792090594845,56
5,37.03178757711635,-3.37662636854818,48
6,37.25106671315244,-3.009968547825124,76
7,37.55639374932686,-3.496753080197526,92
8,37.17619090858585,-3.4551395499572175,56
9,37.973060655883245,-3.1928475846533804,44
10,37.36711866682089,-3.7055015446898594,92
11,37.94434652776892,-3.460585653075174,74
12,37.003643397380145,-3.2057874611458193,82
13,37.88115786579333,-3.0869653972310456,50
14,37.68572084336615,-3.797109419788983,78
15,37.80259110178973,-3.2749921868555045,78
16,37.07557409136243,-3.643607791075937,74
17,37.69066517584325,-3.09709353871741833,94
18,37.38122031088591,-3.7157770471137344,64
19,37.689755998979166,-3.700484053128925,80
20,37.5713026975088,-3.901401377132075,84
21,37.199258570894976,-3.18403950891968,78
22,37.69193401405815,-3.4880029663957117,68
23,37.711674940934515,-3.308571249694452,86
24,37.91936400865068,-3.8903593599352089,96
25,37.17572999795078,-3.930621201589435,84
26,37.650936314196116,-3.1934283836939725,86
27,37.2829922793785,-3.747774829733158,90
28,37.252136091201855,-3.091343765711658,94
29,37.413157040105794,-3.9571367699253486,50
30,37.881971267162584,-3.9030453975570847,80
31,37.60154298218537,-3.0879727805212437,46
32,37.30626922593431,-3.1364340737705625,80
33,37.73642187922919,-3.615765098022151,52
34,37.28810918585238,-3.0990925524205375,96
35,37.67080719880796,-3.774655760555077,64
36,37.25280004855727,-3.0489371917021412,64
37,37.04001103043168,-3.3414313928846,94
38,37.14076324033813,-3.099302642922765,78
39,37.09494953740449,-3.8950031861955328,66
40,37.26919446039918,-3.49182781566074496,66
41,37.53854144302955,-3.8129265643926598,62
42,37.40315099266801,-3.3730499957140196,98
43,37.868647875786344,-3.103261211846386,48
44,37.67279461598031,-3.237214259154135,66
45,37.93128420079209,-2.5937049021050154,74
46,37.53693298272223,-3.774375711542629,66
47,37.435443479564455,-3.7247554570530514,82
48,37.48471086699316,-2.645042593842641,96
49,37.988853959259046,-3.151258377321916,54
50,37.59525343626928,-3.730136757327024,66
